CODGEO,LIBGEO,AGEMEN700_TDM8100,AGEMEN700_TDM8200,AGEMEN700_TDM8310,AGEMEN700_TDM8300,AGEMEN700_TDM8410,AGEMEN700_TDM8420,AGEMEN700_TDM8500,AGEMEN720_TDM8100,AGEMEN720_TDM8200,AGEMEN720_TDM8310,AGEMEN720_TDM8300,AGEMEN720_TDM8410,AGEMEN720_TDM8420,AGEMEN720_TDM8500,AGEMEN725_TDM8100,AGEMEN725_TDM8200,AGEMEN725_TDM8310,AGEMEN725_TDM8300,AGEMEN725_TDM8410,AGEMEN725_TDM8420,AGEMEN725_TDM8500,AGEMEN740_TDM8100,AGEMEN740_TDM8200,AGEMEN740_TDM8310,AGEMEN740_TDM8300,AGEMEN740_TDM8410,AGEMEN740_TDM8420,AGEMEN740_TDM8500,AGEMEN755_TDM8100,AGEMEN755_TDM8200,AGEMEN755_TDM8310,AGEMEN755_TDM8300,AGEMEN755_TDM8410,AGEMEN755_TDM8420,AGEMEN755_TDM8500,AGEMEN765_TDM8100,AGEMEN765_TDM8200,AGEMEN765_TDM8310,AGEMEN765_TDM8300,AGEMEN765_TDM8410,AGEMEN765_TDM8420,AGEMEN765_TDM8500,AGEMEN780_TDM8100,AGEMEN780_TDM8200,AGEMEN780_TDM8310,AGEMEN780_TDM8300,AGEMEN780_TDM8410,AGEMEN780_TDM8420,AGEMEN780_TDM8500
38382,Saint-Égrève,30,0,0,2,5,0,19,74,19,0,0,10,13,1,491,282,607,54,53,166,35,540,161,917,96,123,317,3,511,586,282,25,22,66,9,786,766,48,1,0,13,25,476,337,6,0,1,7,7
38388,Saint-Georges-de-Commiers,0,0,0,0,5,0,0,5,0,0,0,5,0,0,16,16,118,16,5,16,0,16,37,182,21,0,21,0,58,133,43,0,11,0,5,74,164,11,0,0,0,5,26,16,0,0,0,0,5
38421,Saint-Martin-d'Hères,1052,35,5,0,4,15,170,1951,277,13,0,30,53,410,1525,765,1014,131,97,338,336,1008,317,1428,118,190,548,81,872,543,589,38,59,184,38,984,850,113,0,3,50,36,583,367,30,0,8,50,3
38423,Saint-Martin-le-Vinoux,27,0,0,0,5,0,0,132,14,0,0,0,5,19,301,179,167,20,19,43,24,178,38,313,31,48,81,20,123,117,98,5,9,47,0,178,141,29,0,14,0,5,96,56,10,0,0,9,5
38436,Saint-Paul-de-Varces,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,5,74,0,0,5,5,35,49,178,25,0,10,10,30,139,20,0,0,0,5,69,139,0,0,0,0,0,45,35,0,0,0,0,5
38445,Saint-Pierre-de-Mésage,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,25,0,5,0,0,29,5,46,10,5,5,0,14,15,40,0,15,5,0,5,54,0,0,0,0,0,10,10,0,0,0,5,0
38471,Le Sappey-en-Chartreuse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,15,41,5,0,5,0,35,5,102,10,0,15,0,25,56,10,0,0,0,10,15,56,0,0,0,0,0,0,0,0,0,0,5,0
38472,Sarcenas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,6,6,29,0,0,0,0,6,17,0,0,0,0,0,17,12,0,0,0,0,0,0,0,0,0,0,0,0
38474,Sassenage,13,7,0,0,8,0,0,66,24,0,0,5,3,6,272,188,323,25,7,86,15,340,85,734,65,73,190,12,314,347,210,33,24,46,15,409,585,34,9,0,10,15,224,219,4,4,4,8,12
38478,Séchilienne,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,20,5,0,10,0,35,0,70,10,0,20,0,30,40,35,5,0,0,0,15,75,5,0,0,0,0,20,15,0,0,0,0,0
